name,type,damage_type,power,accuracy,pp,description
Charge,Electric,Non-Damaging,—,—,20,The user's Electric attack next turn has 2x power.
Charm,Normal,Non-Damaging,—,100%,20,Lowers the target's Attack by 2.
Clamp,Water,Special,35,75%,10,Traps and damages the target for 2-5 turns.
Comet Punch,Normal,Physical,18,85%,15,Hits 2-5 times in one turn.
Confuse Ray,Ghost,Non-Damaging,—,100%,10,Confuses the target.
Confusion,Psychic,Special,50,100%,25,10% chance to confuse the target.
Constrict,Normal,Physical,10,100%,35,10% chance to lower the target's Speed by 1.
Conversion,Normal,Non-Damaging,—,—,30,Changes user's type to match a known move.
Conversion 2,Normal,Non-Damaging,—,—,30,User's type changes to resist last move against it.
Cosmic Power,Psychic,Non-Damaging,—,—,20,Raises the user's Defense and Sp. Def by 1.
Cotton Spore,Grass,Non-Damaging,—,85%,40,Lowers the target's Speed by 2.
Counter,Fighting,Physical,—,100%,20,"If hit by physical attack, returns double damage."
Covet,Normal,Physical,40,100%,40,"If the user has no item, it steals the target's."
Crabhammer,Water,Special,90,85%,10,High critical hit ratio.
Cross Chop,Fighting,Physical,100,80%,5,High critical hit ratio.
Crunch,Dark,Special,80,100%,15,20% chance to lower the target's Sp. Def by 1.
Crush Claw,Normal,Physical,75,95%,10,50% chance to lower the target's Defense by 1.
Curse,Normal,Non-Damaging,—,—,10,"Curses if Ghost, else -1 Spe, +1 Atk, +1 Def."
Cut,Normal,Physical,50,95%,30,No additional effect.
Defense Curl,Normal,Non-Damaging,—,—,40,Raises the user's Defense by 1.
Destiny Bond,Ghost,Non-Damaging,—,—,5,"If an opponent knocks out the user, it also faints."
Detect,Fighting,Non-Damaging,—,—,5,Prevents moves from affecting the user this turn.
Dig,Ground,Physical,60,100%,10,"Digs underground turn 1, strikes turn 2."
Disable,Normal,Non-Damaging,—,55%,20,"For 2-5 turns, disables the target's last move."
Dive,Water,Special,60,100%,10,"Dives underwater turn 1, strikes turn 2."
Dizzy Punch,Normal,Physical,70,100%,10,20% chance to confuse the target.
Doom Desire,Steel,Physical,120,85%,5,Hits two turns after being used.
Double Kick,Fighting,Physical,30,100%,30,Hits 2 times in one turn.
Double Slap,Normal,Physical,15,85%,10,Hits 2-5 times in one turn.
Double Team,Normal,Non-Damaging,—,—,15,Raises the user's evasiveness by 1.
Double-Edge,Normal,Physical,120,100%,15,Has 1/3 recoil.
Dragon Breath,Dragon,Special,60,100%,20,30% chance to paralyze the target.
Dragon Claw,Dragon,Special,80,100%,15,No additional effect.
Dragon Dance,Dragon,Non-Damaging,—,—,20,Raises the user's Attack and Speed by 1.
Dragon Rage,Dragon,Special,—,100%,10,Deals 40 HP of damage to the target.
Dream Eater,Psychic,Special,100,100%,15,User gains 1/2 HP inflicted. Sleeping target only.
Drill Peck,Flying,Physical,80,100%,20,No additional effect.
Dynamic Punch,Fighting,Physical,100,50%,5,100% chance to confuse the target.
Earthquake,Ground,Physical,100,100%,10,Hits adjacent Pokemon. Power doubles on Dig.
Egg Bomb,Normal,Physical,100,75%,10,No additional effect.
Ember,Fire,Special,40,100%,25,10% chance to burn the target.
Encore,Normal,Non-Damaging,—,100%,5,The target repeats its last move for 3-6 turns.
Endeavor,Normal,Physical,—,100%,5,Lowers the target's HP to the user's HP.
Endure,Normal,Non-Damaging,—,—,10,User survives attacks this turn with at least 1 HP.
Eruption,Fire,Special,150,100%,5,Less power as user's HP decreases. Hits foe(s).
Explosion,Normal,Physical,250,100%,5,Target's Def halved during damage. User faints.
Extrasensory,Psychic,Special,80,100%,30,10% chance to make the target flinch.
Extreme Speed,Normal,Physical,80,100%,5,Usually goes first.
Facade,Normal,Physical,70,100%,20,Power doubles if user is burn/poison/paralyzed.
Fake Out,Normal,Physical,40,100%,10,Hits first. First turn out only. 100% flinch chance.
Fake Tears,Dark,Non-Damaging,—,100%,20,Lowers the target's Sp. Def by 2.
False Swipe,Normal,Physical,40,100%,40,Always leaves the target with at least 1 HP.
Feather Dance,Flying,Non-Damaging,—,100%,15,Lowers the target's Attack by 2.
Feint Attack,Dark,Special,60,—,20,This move does not check accuracy.
Fire Blast,Fire,Special,120,85%,5,10% chance to burn the target.
Fire Punch,Fire,Special,75,100%,15,10% chance to burn the target.
Fire Spin,Fire,Special,15,70%,15,Traps and damages the target for 2-5 turns.
Fissure,Ground,Physical,—,30%,5,OHKOs the target. Fails if user is a lower level.
Flail,Normal,Physical,—,100%,15,More power the less HP the user has left.
Flame Wheel,Fire,Special,60,100%,25,10% chance to burn the target. Thaws user.
Flamethrower,Fire,Special,95,100%,15,10% chance to burn the target.
Flash,Normal,Non-Damaging,—,70%,20,Lowers the target's accuracy by 1.
Flatter,Dark,Non-Damaging,—,100%,15,Raises the target's Sp. Atk by 1 and confuses it.
Fly,Flying,Physical,70,95%,15,"Flies up on first turn, then strikes the next turn."
Focus Energy,Normal,Non-Damaging,—,—,30,Raises the user's critical hit ratio by 2.
Focus Punch,Fighting,Physical,150,100%,20,Fails if the user takes damage before it hits.
Follow Me,Normal,Non-Damaging,—,—,20,The foes' moves target the user on the turn used.
Foresight,Normal,Non-Damaging,—,100%,40,"Fighting, Normal hit Ghost. Evasiveness ignored."
Frenzy Plant,Grass,Special,150,90%,5,User cannot move next turn.
Frustration,Normal,Physical,—,100%,20,Max 102 power at minimum Happiness.
Fury Attack,Normal,Physical,15,85%,20,Hits 2-5 times in one turn.
Fury Cutter,Bug,Physical,10,95%,20,"Power doubles with each hit, up to 160."
Fury Swipes,Normal,Physical,18,80%,15,Hits 2-5 times in one turn.
Future Sight,Psychic,Special,80,90%,15,Hits two turns after being used.
Giga Drain,Grass,Special,60,100%,5,User recovers 50% of the damage dealt.
Glare,Normal,Non-Damaging,—,75%,30,Paralyzes the target.
Grass Whistle,Grass,Non-Damaging,—,55%,15,Causes the target to fall asleep.
Growl,Normal,Non-Damaging,—,100%,40,Lowers the foe(s) Attack by 1.
Growth,Normal,Non-Damaging,—,—,40,Raises the user's Sp. Atk by 1.
Grudge,Ghost,Non-Damaging,—,—,5,"If the user faints, the attack used loses all its PP."
Guillotine,Normal,Physical,—,30%,5,OHKOs the target. Fails if user is a lower level.
Gust,Flying,Physical,40,100%,35,Power doubles during Bounce and Fly.
Hail,Ice,Non-Damaging,—,—,10,"For 5 turns, hail crashes down."
Harden,Normal,Non-Damaging,—,—,30,Raises the user's Defense by 1.
Haze,Ice,Non-Damaging,—,—,30,Eliminates all stat changes.
Headbutt,Normal,Physical,70,100%,15,30% chance to make the target flinch.
Heal Bell,Normal,Non-Damaging,—,—,5,Cures the user's party of all status conditions.
Heat Wave,Fire,Special,100,90%,10,10% chance to burn the foe(s).
Helping Hand,Normal,Non-Damaging,—,—,20,One adjacent ally's move power is 1.5x this turn.
Hidden Power,Normal,Physical,—,100%,15,Varies in power and type based on the user's IVs.
High Jump Kick,Fighting,Physical,85,90%,20,"If miss, user takes 1/2 damage it would've dealt."
Horn Attack,Normal,Physical,65,100%,25,No additional effect.
Horn Drill,Normal,Physical,—,30%,5,OHKOs the target. Fails if user is a lower level.
Howl,Normal,Non-Damaging,—,—,40,Raises the user's Attack by 1.
Hydro Cannon,Water,Special,150,90%,5,User cannot move next turn.
Hydro Pump,Water,Special,120,80%,5,No additional effect.
Hyper Beam,Normal,Physical,150,90%,5,User cannot move next turn.
Hyper Fang,Normal,Physical,80,90%,15,10% chance to make the target flinch.
Hyper Voice,Normal,Physical,90,100%,10,No additional effect. Hits adjacent foes.
Hypnosis,Psychic,Non-Damaging,—,60%,20,Causes the target to fall asleep.
Ice Ball,Ice,Special,30,90%,20,Power doubles with each hit. Repeats for 5 turns.
Ice Beam,Ice,Special,95,100%,10,10% chance to freeze the target.
Ice Punch,Ice,Special,75,100%,15,10% chance to freeze the target.
Icicle Spear,Ice,Special,10,100%,30,Hits 2-5 times in one turn.
Icy Wind,Ice,Special,55,95%,15,100% chance to lower the foe(s) Speed by 1.
Imprison,Psychic,Non-Damaging,—,—,10,No foe can use any move known by the user.
Ingrain,Grass,Non-Damaging,—,—,20,User recovers 1/16 max HP per turn. Traps user.
Iron Defense,Steel,Non-Damaging,—,—,15,Raises the user's Defense by 2.
Iron Tail,Steel,Physical,100,75%,15,30% chance to lower the target's Defense by 1.
Jump Kick,Fighting,Physical,70,95%,25,"If miss, user takes 1/2 damage it would've dealt."
Karate Chop,Fighting,Physical,50,100%,25,High critical hit ratio.
Kinesis,Psychic,Non-Damaging,—,80%,15,Lowers the target's accuracy by 1.
Knock Off,Dark,Special,20,100%,20,Target's item is lost and it cannot obtain another.
Leaf Blade,Grass,Special,70,100%,15,High critical hit ratio.
Leech Life,Bug,Physical,20,100%,15,User recovers 50% of the damage dealt.
Leech Seed,Grass,Non-Damaging,—,90%,10,1/8 of target's HP is restored to user every turn.
Leer,Normal,Non-Damaging,—,100%,30,Lowers the foe(s) Defense by 1.
Lick,Ghost,Physical,20,100%,30,30% chance to paralyze the target.
Light Screen,Psychic,Non-Damaging,—,—,30,"For 5 turns, special damage to allies is halved."
Lock-On,Normal,Non-Damaging,—,100%,5,User's next move will not miss the target.
Lovely Kiss,Normal,Non-Damaging,—,75%,10,Causes the target to fall asleep.
Low Kick,Fighting,Physical,—,100%,20,More power the heavier the target.
Luster Purge,Psychic,Special,70,100%,5,50% chance to lower the target's Sp. Def by 1.
Mach Punch,Fighting,Physical,40,100%,30,Usually goes first.
Magic Coat,Psychic,Non-Damaging,—,—,15,Bounces back certain non-damaging moves.
Magical Leaf,Grass,Special,60,—,20,This move does not check accuracy.
Magnitude,Ground,Physical,—,100%,30,Hits adjacent Pokemon. Power varies; 2x on Dig.
Mean Look,Normal,Non-Damaging,—,—,5,Prevents the target from switching out.
Meditate,Psychic,Non-Damaging,—,—,40,Raises the user's Attack by 1.
Mega Drain,Grass,Special,40,100%,10,User recovers 50% of the damage dealt.
Mega Kick,Normal,Physical,120,75%,5,No additional effect.
Mega Punch,Normal,Physical,80,85%,20,No additional effect.
Megahorn,Bug,Physical,120,85%,10,No additional effect.
Memento,Dark,Non-Damaging,—,—,10,"Lowers target's Attack, Sp. Atk by 2. User faints."
Metal Claw,Steel,Physical,50,95%,35,10% chance to raise the user's Attack by 1.
Metal Sound,Steel,Non-Damaging,—,85%,40,Lowers the target's Sp. Def by 2.
Meteor Mash,Steel,Physical,100,85%,10,20% chance to raise the user's Attack by 1.
Metronome,Normal,Non-Damaging,—,—,10,Picks a random move.
Milk Drink,Normal,Non-Damaging,—,—,10,Heals the user by 50% of its max HP.
Mimic,Normal,Non-Damaging,—,—,10,The last move the target used replaces this one.
Mind Reader,Normal,Non-Damaging,—,100%,5,User's next move will not miss the target.
Minimize,Normal,Non-Damaging,—,—,20,Raises the user's evasiveness by 1.
Mirror Coat,Psychic,Special,—,100%,20,"If hit by special attack, returns double damage."
Mirror Move,Flying,Non-Damaging,—,—,20,User uses the target's last used move against it.
Mist,Ice,Non-Damaging,—,—,30,"For 5 turns, protects user's party from stat drops."
Mist Ball,Psychic,Special,70,100%,5,50% chance to lower the target's Sp. Atk by 1.
Moonlight,Normal,Non-Damaging,—,—,5,Heals the user by a weather-dependent amount.
Morning Sun,Normal,Non-Damaging,—,—,5,Heals the user by a weather-dependent amount.
Mud Shot,Ground,Physical,55,95%,15,100% chance to lower the target's Speed by 1.
Mud Sport,Ground,Non-Damaging,—,—,15,Weakens Electric-type attacks to 1/2 their power.
Mud-Slap,Ground,Physical,20,100%,10,100% chance to lower the target's accuracy by 1.
Muddy Water,Water,Special,95,85%,10,30% chance to lower the foe(s) accuracy by 1.
Nature Power,Normal,Non-Damaging,—,95%,20,Attack changes based on terrain. (Swift)
Needle Arm,Grass,Special,60,100%,15,30% chance to make the target flinch.
Night Shade,Ghost,Physical,—,100%,15,Does damage equal to the user's level.
Nightmare,Ghost,Non-Damaging,—,—,15,A sleeping target is hurt by 1/4 max HP per turn.
Octazooka,Water,Special,65,85%,10,50% chance to lower the target's accuracy by 1.
Odor Sleuth,Normal,Non-Damaging,—,100%,40,"Fighting, Normal hit Ghost. Evasiveness ignored."
Outrage,Dragon,Special,90,100%,15,Lasts 2-3 turns. Confuses the user afterwards.
Overheat,Fire,Special,140,90%,5,Lowers the user's Sp. Atk by 2.
Pain Split,Normal,Non-Damaging,—,—,20,Shares HP of user and target equally.
Pay Day,Normal,Physical,40,100%,20,Scatters coins.
Peck,Flying,Physical,35,100%,35,No additional effect.
Perish Song,Normal,Non-Damaging,—,—,5,All active Pokemon will faint in 3 turns.
Petal Dance,Grass,Special,70,100%,20,Lasts 2-3 turns. Confuses the user afterwards.
Pin Missile,Bug,Physical,14,85%,20,Hits 2-5 times in one turn.
Poison Fang,Poison,Physical,50,100%,15,30% chance to badly poison the target.
Poison Gas,Poison,Non-Damaging,—,55%,40,Poisons the foe(s).
Poison Powder,Poison,Non-Damaging,—,75%,35,Poisons the target.
Poison Sting,Poison,Physical,15,100%,35,30% chance to poison the target.
Poison Tail,Poison,Physical,50,100%,25,High critical hit ratio. 10% chance to poison.
Pound,Normal,Physical,40,100%,35,No additional effect.
Powder Snow,Ice,Special,40,100%,25,10% chance to freeze the foe(s).
Present,Normal,Physical,—,90%,15,"40, 80, 120 power, or heals target 1/4 max HP."
Protect,Normal,Non-Damaging,—,—,10,Prevents moves from affecting the user this turn.
Psybeam,Psychic,Special,65,100%,20,10% chance to confuse the target.
Psych Up,Normal,Non-Damaging,—,—,10,Copies the target's current stat stages.
Psychic,Psychic,Special,90,100%,10,10% chance to lower the target's Sp. Def by 1.
Psycho Boost,Psychic,Special,140,90%,5,Lowers the user's Sp. Atk by 2.
Psywave,Psychic,Special,—,80%,15,Random damage equal to 0.5x-1.5x user's level.
Pursuit,Dark,Special,40,100%,20,Power doubles if the targeted foe is switching out.
Quick Attack,Normal,Physical,40,100%,30,Usually goes first.
Rage,Normal,Physical,20,100%,20,Raises the user's Attack by 1 if hit during use.
Rain Dance,Water,Non-Damaging,—,—,5,"For 5 turns, heavy rain powers Water moves."
Rapid Spin,Normal,Physical,20,100%,40,"Frees user from hazards, binding, Leech Seed."
Razor Leaf,Grass,Special,55,95%,25,High critical hit ratio. Hits adjacent foes.
Razor Wind,Normal,Physical,80,100%,10,"Charges, then hits foe(s) turn 2."
Recover,Normal,Non-Damaging,—,—,20,Heals the user by 50% of its max HP.
Recycle,Normal,Non-Damaging,—,—,10,Restores the item the user last used.
Reflect,Psychic,Non-Damaging,—,—,20,"For 5 turns, physical damage to allies is halved."
Refresh,Normal,Non-Damaging,—,—,20,"User cures its burn, poison, or paralysis."
Rest,Psychic,Non-Damaging,—,—,10,User sleeps 2 turns and restores HP and status.
Return,Normal,Physical,—,100%,20,Max 102 power at maximum Happiness.
Revenge,Fighting,Physical,60,100%,10,Damage doubles if user is hit by the target.
Reversal,Fighting,Physical,—,100%,15,More power the less HP the user has left.
Roar,Normal,Non-Damaging,—,100%,20,Forces the target to switch to a random ally.
Rock Blast,Rock,Physical,25,80%,10,Hits 2-5 times in one turn.
Rock Slide,Rock,Physical,75,90%,10,30% chance to make the foe(s) flinch.
Rock Smash,Fighting,Physical,20,100%,15,50% chance to lower the target's Defense by 1.
Rock Throw,Rock,Physical,50,90%,15,No additional effect.
Rock Tomb,Rock,Physical,50,80%,10,100% chance to lower the target's Speed by 1.
Role Play,Psychic,Non-Damaging,—,—,10,User replaces its Ability with the target's.
Rolling Kick,Fighting,Physical,60,85%,15,30% chance to make the target flinch.
Rollout,Rock,Physical,30,90%,20,Power doubles with each hit. Repeats for 5 turns.
Sacred Fire,Fire,Special,100,95%,5,50% chance to burn the target. Thaws user.
Safeguard,Normal,Non-Damaging,—,—,25,"For 5 turns, protects user's party from status."
Sand Attack,Ground,Non-Damaging,—,100%,15,Lowers the target's accuracy by 1.
Sand Tomb,Ground,Physical,15,70%,15,Traps and damages the target for 2-5 turns.
Sandstorm,Rock,Non-Damaging,—,—,10,"For 5 turns, a sandstorm rages."
Scary Face,Normal,Non-Damaging,—,90%,10,Lowers the target's Speed by 2.
Scratch,Normal,Physical,40,100%,35,No additional effect.
Screech,Normal,Non-Damaging,—,85%,40,Lowers the target's Defense by 2.
Secret Power,Normal,Physical,70,100%,20,Effect varies with terrain. (30% paralysis chance)
Seismic Toss,Fighting,Physical,—,100%,20,Does damage equal to the user's level.
Self-Destruct,Normal,Physical,200,100%,5,Target's Def halved during damage. User faints.
Shadow Ball,Ghost,Physical,80,100%,15,20% chance to lower the target's Sp. Def by 1.
Shadow Punch,Ghost,Physical,60,—,20,This move does not check accuracy.
Sharpen,Normal,Non-Damaging,—,—,30,Raises the user's Attack by 1.
Sheer Cold,Ice,Special,—,30%,5,OHKOs the target. Fails if user is a lower level.
Shock Wave,Electric,Special,60,—,20,This move does not check accuracy.
Signal Beam,Bug,Physical,75,100%,15,10% chance to confuse the target.
Silver Wind,Bug,Physical,60,100%,5,10% chance to raise all stats by 1 (not acc/eva).
Sing,Normal,Non-Damaging,—,55%,15,Causes the target to fall asleep.
Sketch,Normal,Non-Damaging,—,—,1,Permanently copies the last move target used.
Skill Swap,Psychic,Non-Damaging,—,—,10,The user and the target trade Abilities.
Skull Bash,Normal,Physical,100,100%,15,Raises user's Defense by 1 on turn 1. Hits turn 2.
Sky Attack,Flying,Physical,140,90%,5,"Charges, then hits turn 2. 30% flinch. High crit."
Sky Uppercut,Fighting,Physical,85,90%,15,Can hit Pokemon using Bounce or Fly.
Slack Off,Normal,Non-Damaging,—,—,10,Heals the user by 50% of its max HP.
Slam,Normal,Physical,80,75%,20,No additional effect.
Slash,Normal,Physical,70,100%,20,High critical hit ratio.
Sleep Powder,Grass,Non-Damaging,—,75%,15,Causes the target to fall asleep.
Sleep Talk,Normal,Non-Damaging,—,—,10,User must be asleep. Uses another known move.
Sludge,Poison,Physical,65,100%,20,30% chance to poison the target.
Sludge Bomb,Poison,Physical,90,100%,10,30% chance to poison the target.
Smelling Salts,Normal,Physical,60,100%,10,Damage doubles if target is paralyzed; cures it.
Smog,Poison,Physical,20,70%,20,40% chance to poison the target.
Smokescreen,Normal,Non-Damaging,—,100%,20,Lowers the target's accuracy by 1.
Snatch,Dark,Non-Damaging,—,—,10,User steals certain support moves to use itself.
Snore,Normal,Physical,40,100%,15,User must be asleep. 30% chance to flinch target.
Soft-Boiled,Normal,Non-Damaging,—,—,10,Heals the user by 50% of its max HP.
Solar Beam,Grass,Special,120,100%,10,Charges turn 1. Hits turn 2. No charge in sunlight.
Sonic Boom,Normal,Physical,—,90%,20,Always does 20 HP of damage.
Spark,Electric,Special,65,100%,20,30% chance to paralyze the target.
Spider Web,Bug,Non-Damaging,—,—,10,Prevents the target from switching out.
Spike Cannon,Normal,Physical,20,100%,15,Hits 2-5 times in one turn.
Spikes,Ground,Non-Damaging,—,—,20,Hurts grounded foes on switch-in. Max 3 layers.
Spit Up,Normal,Physical,—,100%,10,More power with more uses of Stockpile.
Spite,Ghost,Non-Damaging,—,100%,10,Lowers the PP of the target's last move by 2-5.
Splash,Normal,Non-Damaging,—,—,40,No competitive use.
Spore,Grass,Non-Damaging,—,100%,15,Causes the target to fall asleep.
Steel Wing,Steel,Physical,70,90%,25,10% chance to raise the user's Defense by 1.
Stockpile,Normal,Non-Damaging,—,—,10,Raises user's Stockpile count by 1. Max 3 uses.
Stomp,Normal,Physical,65,100%,20,30% chance to make the target flinch.
Strength,Normal,Physical,80,100%,15,No additional effect.
String Shot,Bug,Non-Damaging,—,95%,40,Lowers the foe(s) Speed by 1.
Struggle,Normal,Physical,50,100%,1,User loses 1/4 the HP lost by the target.
Stun Spore,Grass,Non-Damaging,—,75%,30,Paralyzes the target.
Submission,Fighting,Physical,80,80%,25,Has 1/4 recoil.
Substitute,Normal,Non-Damaging,—,—,10,User takes 1/4 its max HP to put in a substitute.
Sunny Day,Fire,Non-Damaging,—,—,5,"For 5 turns, intense sunlight powers Fire moves."
Super Fang,Normal,Physical,—,90%,10,Does damage equal to 1/2 target's current HP.
Superpower,Fighting,Physical,120,100%,5,Lowers the user's Attack and Defense by 1.
Supersonic,Normal,Non-Damaging,—,55%,20,Causes the target to become confused.
Surf,Water,Special,95,100%,15,Hits foes. Power doubles against Dive.
Swagger,Normal,Non-Damaging,—,90%,15,Raises the target's Attack by 2 and confuses it.
Swallow,Normal,Non-Damaging,—,—,10,Heals the user based on uses of Stockpile.
Sweet Kiss,Normal,Non-Damaging,—,75%,10,Causes the target to become confused.
Sweet Scent,Normal,Non-Damaging,—,100%,20,Lowers the foe(s) evasiveness by 1.
Swift,Normal,Physical,60,—,20,This move does not check accuracy. Hits foes.
Swords Dance,Normal,Non-Damaging,—,—,30,Raises the user's Attack by 2.
Synthesis,Grass,Non-Damaging,—,—,5,Heals the user by a weather-dependent amount.
Tackle,Normal,Physical,35,95%,35,No additional effect.
Tail Glow,Bug,Non-Damaging,—,—,20,Raises the user's Sp. Atk by 2.
Tail Whip,Normal,Non-Damaging,—,100%,30,Lowers the foe(s) Defense by 1.
Take Down,Normal,Physical,90,85%,20,Has 1/4 recoil.
Taunt,Dark,Non-Damaging,—,100%,20,"For 2 turns, the target can't use status moves."
Teeter Dance,Normal,Non-Damaging,—,100%,20,Confuses adjacent Pokemon.
Teleport,Psychic,Non-Damaging,—,—,20,Fails when used.
Thief,Dark,Special,40,100%,10,"If the user has no item, it steals the target's."
Thrash,Normal,Physical,90,100%,20,Lasts 2-3 turns. Confuses the user afterwards.
Thunder,Electric,Special,120,70%,10,30% chance to paralyze. Can't miss in rain.
Thunder Punch,Electric,Special,75,100%,15,10% chance to paralyze the target.
Thunder Shock,Electric,Special,40,100%,30,10% chance to paralyze the target.
Thunder Wave,Electric,Non-Damaging,—,100%,20,Paralyzes the target.
Thunderbolt,Electric,Special,95,100%,15,10% chance to paralyze the target.
Tickle,Normal,Non-Damaging,—,100%,20,Lowers the target's Attack and Defense by 1.
Torment,Dark,Non-Damaging,—,100%,15,Target can't select the same move twice in a row.
Toxic,Poison,Non-Damaging,—,85%,10,Badly poisons the target.
Transform,Normal,Non-Damaging,—,—,10,"Copies target's stats, moves, types, and Ability."
Tri Attack,Normal,Physical,80,100%,10,20% chance to paralyze or burn or freeze target.
Trick,Psychic,Non-Damaging,—,100%,10,User switches its held item with the target's.
Triple Kick,Fighting,Physical,10,90%,10,"Hits 3 times. Each hit can miss, but power rises."
Twineedle,Bug,Physical,25,100%,20,Hits 2 times. Each hit has 20% chance to poison.
Twister,Dragon,Special,40,100%,20,20% chance to make the foe(s) flinch.
Uproar,Normal,Physical,50,100%,10,Lasts 2-5 turns. Active Pokemon cannot sleep.
Vice Grip,Normal,Physical,55,100%,30,No additional effect.
Vine Whip,Grass,Special,35,100%,10,No additional effect.
Vital Throw,Fighting,Physical,70,—,10,This move does not check accuracy. Goes last.
Volt Tackle,Electric,Special,120,100%,15,Has 1/3 recoil.
Water Gun,Water,Special,40,100%,25,No additional effect.
Water Pulse,Water,Special,60,100%,20,20% chance to confuse the target.
Water Sport,Water,Non-Damaging,—,—,15,Weakens Fire-type attacks to 1/2 their power.
Water Spout,Water,Special,150,100%,5,Less power as user's HP decreases. Hits foe(s).
Waterfall,Water,Special,80,100%,15,No additional effect.
Weather Ball,Normal,Physical,50,100%,10,Damage doubles and type varies during weather.
Whirlpool,Water,Special,15,70%,15,Traps and damages the target for 2-5 turns.
Whirlwind,Normal,Non-Damaging,—,100%,20,Forces the target to switch to a random ally.
Will-O-Wisp,Fire,Non-Damaging,—,75%,15,Burns the target.
Wing Attack,Flying,Physical,60,100%,35,No additional effect.
Wish,Normal,Non-Damaging,—,—,10,"Next turn, heals 50% of the recipient's max HP."
Withdraw,Water,Non-Damaging,—,—,40,Raises the user's Defense by 1.
Wrap,Normal,Physical,15,85%,20,Traps and damages the target for 2-5 turns.
Yawn,Normal,Non-Damaging,—,—,10,Puts the target to sleep after 1 turn.
Zap Cannon,Electric,Special,100,50%,5,100% chance to paralyze the target.
